,word,frequency
17,froze,2
674,mother,2
99,adapt,2
631,dream,2
619,deep,2
567,jonesport,2
63,belief,2
87,wrap,2
88,mile,2
223,ocean,2
307,super,2
551,vote,2
1252,count,2
1253,complex,2
546,walk,2
545,brain,2
542,built,2
538,backward,2
94,grandmoth,2
95,perman,2
308,novel,2
532,low,2
98,origin,2
565,mom,2
563,marshfield,2
228,discard,2
597,anonym,2
67,freedom,2
1362,proper,2
238,volunt,2
83,prepar,2
1237,bounc,2
1238,ad,2
579,tribal,2
598,typic,2
601,plan,2
1241,longstand,2
1243,current,2
1395,branch,1
1385,suppos,1
1393,distanc,1
1392,safer,1
1380,newcom,1
1097,reform,1
1100,associ,1
1101,white,1
1396,elsewher,1
1098,fisheri,1
1099,sector,1
1079,undergrad,1
1400,releas,1
1094,loud,1
1442,distant,1
1443,meant,1
1447,syrup,1
1448,flip,1
1066,closest,1
1450,reson,1
1452,geographi,1
1457,background,1
1462,normal,1
1466,ai,1
1468,timefram,1
1062,closer,1
1469,crowd,1
1470,discord,1
1477,team,1
1479,gemston,1
1480,deserv,1
1482,accommod,1
1057,demograph,1
1484,red,1
1056,common,1
1485,clear,1
1487,surri,1
1070,eastern,1
1438,held,1
1437,curricular,1
1412,race,1
1401,complaint,1
1093,argu,1
1090,solut,1
1089,unfrozen,1
1405,bump,1
1406,speci,1
1088,mushroom,1
1407,cabbag,1
1411,wave,1
1086,mark,1
1413,thrill,1
1435,sever,1
1083,partner,1
1418,kick,1
1421,stick,1
1425,eight,1
1105,lobster,1
1426,smart,1
1077,prompt,1
1427,benefici,1
1428,borrow,1
1431,cat,1
1104,venu,1
1189,discount,1
1378,matern,1
1153,shut,1
1242,control,1
1248,rang,1
1169,echo,1
1249,effect,1
1250,bigger,1
1167,sad,1
1258,implement,1
1259,babysat,1
1260,consortium,1
1261,combin,1
1262,umpteen,1
1161,horrif,1
1266,design,1
1267,confus,1
1268,mistak,1
1269,fortun,1
1270,paper,1
1271,afterward,1
1272,be,1
1273,spring,1
1157,24,1
1274,method,1
1276,fold,1
1155,treat,1
1154,extrem,1
1236,upgrad,1
1173,bonu,1
1234,donut,1
1180,strap,1
1192,assist,1
1187,nois,1
1195,simpl,1
1196,address,1
1198,prep,1
1199,feder,1
1203,6,1
1209,solv,1
1210,will,1
1211,boy,1
1181,fall,1
1213,rec,1
1232,sport,1
1215,nother,1
1217,overlay,1
1219,fulfil,1
1220,meta,1
1178,chanc,1
1223,stuck,1
1177,pyramid,1
1176,dislik,1
1226,emot,1
1230,admin,1
1231,presenc,1
1278,hardest,1
1152,org,1
1106,advocaci,1
1284,store,1
1130,navig,1
1335,workplac,1
1336,apart,1
1338,discov,1
1339,spread,1
1343,notion,1
1344,medic,1
1345,advantag,1
1351,sum,1
1125,forth,1
1124,instruct,1
1123,strike,1
1353,freez,1
1355,applic,1
1358,influx,1
1116,birth,1
1359,genuin,1
1361,hallmark,1
1113,sweet,1
1112,intrigu,1
1363,web,1
1365,capabl,1
1367,troubl,1
1368,variou,1
1373,send,1
1334,bias,1
1190,wellb,1
1133,towel,1
1301,c,1
1285,shore,1
1147,code,1
1288,noisi,1
1290,501,1
1291,center,1
1145,color,1
1292,freeness,1
1142,wisdom,1
1294,econom,1
1295,puzzl,1
1300,ensur,1
1302,stem,1
1326,tap,1
1306,earth,1
1307,section,1
1309,barrier,1
1139,courag,1
1314,session,1
1316,drew,1
1321,indigen,1
1136,cogniz,1
1323,necessari,1
1324,rug,1
1325,pay,1
1263,suburban,1
0,exclus,1
1054,talent,1
349,pride,1
325,yard,1
327,conflict,1
328,reinforc,1
329,wherev,1
330,region,1
331,surfac,1
335,lcoc,1
337,nope,1
339,holist,1
341,3,1
343,cough,1
350,corner,1
260,brief,1
357,manifest,1
359,bia,1
360,event,1
362,columbia,1
363,heart,1
364,hop,1
365,arithmet,1
366,unforgiv,1
367,innat,1
374,dive,1
383,conscious,1
322,either,1
318,verbal,1
316,categori,1
315,bind,1
263,weed,1
266,took,1
267,transcrib,1
269,inter,1
272,hate,1
278,mad,1
280,aroostook,1
281,research,1
284,len,1
285,directli,1
286,american,1
291,parti,1
292,upbring,1
293,pessimist,1
295,perhap,1
296,juxtaposit,1
300,extraordinari,1
301,mesh,1
302,notabl,1
303,crime,1
304,behalf,1
305,strive,1
312,break,1
385,clarif,1
386,limit,1
387,stroller,1
449,backyard,1
451,cell,1
455,themself,1
456,prejudic,1
460,framework,1
465,government,1
466,kindergarten,1
468,season,1
469,groceri,1
470,clinic,1
472,stretch,1
473,plant,1
477,among,1
478,upload,1
481,tackl,1
482,content,1
483,explain,1
485,trait,1
488,irrit,1
494,fire,1
495,60,1
502,rest,1
503,extracurricular,1
504,therapist,1
450,rid,1
448,umbrella,1
388,hello,1
447,secondari,1
389,doer,1
391,vast,1
396,reward,1
398,2,1
400,mutual,1
404,k12,1
406,transport,1
411,wait,1
412,partnership,1
423,influenc,1
425,attract,1
426,instrument,1
427,platform,1
428,refer,1
431,spice,1
432,rule,1
433,sale,1
437,clap,1
438,career,1
439,solac,1
442,size,1
443,disord,1
445,particularli,1
261,skim,1
257,eyeopen,1
1050,overwhelm,1
82,pseudo,1
58,differenti,1
61,infinit,1
65,write,1
71,special,1
72,lightweight,1
74,danforth,1
76,visibl,1
78,participatori,1
79,subsequ,1
80,hurdl,1
81,innoc,1
84,outskirt,1
256,shrink,1
89,heartbeat,1
90,tire,1
91,robust,1
92,buffer,1
93,messag,1
96,longest,1
100,fellow,1
102,nation,1
103,mall,1
106,fun,1
114,wagon,1
57,west,1
54,rephras,1
51,pd,1
49,primarili,1
2,transit,1
5,nonexist,1
6,captur,1
7,wise,1
10,misus,1
11,link,1
13,strateg,1
15,foreign,1
20,touch,1
21,movement,1
23,boat,1
24,trustworthi,1
27,broken,1
29,frequent,1
31,disabl,1
33,advanc,1
34,partli,1
35,coastlin,1
40,recip,1
42,existenti,1
45,homeschool,1
46,finish,1
48,extend,1
117,implicit,1
122,facebook,1
126,giver,1
185,worrisom,1
187,extrovert,1
188,statist,1
189,sentiel,1
192,highway,1
196,solutionari,1
198,slowli,1
200,via,1
205,climb,1
206,execut,1
211,toggl,1
212,hallway,1
215,survey,1
217,select,1
221,option,1
222,hometown,1
225,histor,1
233,shortag,1
235,northfield,1
244,primari,1
247,instanc,1
248,commit,1
249,due,1
252,analysi,1
186,wood,1
184,societi,1
128,properti,1
182,stranger,1
129,institut,1
135,afar,1
137,squelch,1
139,dinner,1
140,save,1
141,smaller,1
142,vari,1
146,geograph,1
147,50,1
148,ident,1
150,ground,1
153,talli,1
155,search,1
158,worth,1
159,edg,1
162,attend,1
163,overcrowd,1
167,surround,1
168,luckili,1
170,holiday,1
177,youngest,1
178,haul,1
180,illustr,1
506,overcom,1
510,input,1
511,broadband,1
911,freak,1
882,skip,1
885,strongli,1
886,stand,1
887,bar,1
888,flail,1
892,00,1
902,certif,1
905,disconnect,1
906,stronger,1
908,garden,1
910,consist,1
913,intersect,1
513,teen,1
914,game,1
915,reimagin,1
916,altern,1
917,purview,1
918,briefli,1
919,cost,1
920,plate,1
922,wish,1
923,incarcer,1
925,street,1
927,scatter,1
877,god,1
876,trust,1
873,compassion,1
869,east,1
799,fish,1
807,walker,1
809,gracious,1
810,correct,1
811,guid,1
815,beat,1
816,roughli,1
819,central,1
824,trajectori,1
825,requir,1
826,produc,1
828,util,1
829,establish,1
832,hancock,1
834,consult,1
835,messeng,1
838,properli,1
839,therapi,1
841,flight,1
842,hundredfold,1
846,excit,1
858,complementari,1
863,tourist,1
928,clarifi,1
930,swim,1
932,curv,1
993,obvious,1
996,wrote,1
997,lens,1
999,nine,1
1001,focu,1
1002,appreci,1
1003,comment,1
1006,bond,1
1007,mindset,1
1008,deficit,1
1013,seat,1
1020,compani,1
1021,stunt,1
1022,uncl,1
1024,grumpi,1
1026,western,1
1029,dramat,1
1030,constantli,1
1038,pipelin,1
1040,asset,1
1041,staff,1
1042,tight,1
1043,lack,1
1048,fear,1
995,clock,1
991,experienti,1
933,return,1
989,similarli,1
939,assum,1
941,grab,1
942,busi,1
944,known,1
945,larg,1
949,fanci,1
951,judgment,1
954,statewid,1
958,pressur,1
963,ongo,1
964,tug,1
965,plain,1
970,grant,1
972,neighborhood,1
973,curricula,1
974,scari,1
975,realm,1
976,doh,1
979,counsel,1
984,heartwarm,1
985,croix,1
987,obstacl,1
988,fabric,1
798,affair,1
794,predict,1
793,manur,1
578,solidifi,1
581,literaci,1
585,window,1
587,orient,1
590,changer,1
602,water,1
603,sightse,1
607,constrict,1
608,fishermen,1
609,tip,1
611,summar,1
612,align,1
614,man,1
616,clunki,1
623,exclud,1
628,coach,1
629,virtual,1
632,sauc,1
633,treasur,1
635,facilit,1
639,remot,1
640,river,1
641,soap,1
643,formal,1
580,ccc,1
577,90,1
649,judg,1
573,exactli,1
514,girl,1
516,form,1
521,st,1
523,cold,1
525,tiktok,1
526,ymca,1
527,phenomena,1
528,qualiti,1
531,memori,1
534,descript,1
535,list,1
536,desir,1
540,comprehens,1
541,long,1
544,thin,1
548,stress,1
549,anticip,1
550,viabil,1
553,downtown,1
557,introvert,1
562,unequ,1
569,metropolitan,1
571,fund,1
647,slow,1
650,baggag,1
792,strengthen,1
715,ingrain,1
719,son,1
722,face,1
723,buy,1
725,convinc,1
726,regress,1
729,seriou,1
733,appar,1
739,hunt,1
741,baselin,1
743,shop,1
751,blanket,1
754,truck,1
756,throw,1
765,council,1
766,born,1
767,unbeliev,1
768,scientif,1
770,chines,1
780,tour,1
782,literatur,1
784,elabor,1
785,wake,1
787,grain,1
716,reduc,1
714,divid,1
651,pop,1
713,unfortun,1
655,disturb,1
659,littlest,1
664,heap,1
667,bubbl,1
673,guest,1
676,secret,1
678,emerg,1
679,tween,1
683,encount,1
684,whichev,1
688,period,1
689,uh,1
691,neighborli,1
692,encompass,1
698,mostli,1
700,pedagogi,1
701,subject,1
703,found,1
704,domest,1
705,hundr,1
706,upon,1
711,taxpay,1
712,disadvantag,1
1488,playground,1
