,word,frequency
437,stood,1
439,combin,1
447,hidden,1
448,professor,1
450,gift,1
454,violenc,1
459,brought,1
461,starter,1
463,girl,1
473,skip,1
475,afterward,1
476,punch,1
480,pseudonym,1
486,market,1
526,vibe,1
530,employ,1
628,absolut,1
602,near,1
583,mount,1
1,recogn,1
589,page,1
590,imposs,1
594,mainstream,1
597,hunter,1
598,forc,1
604,factori,1
532,penobscot,1
605,sovereign,1
606,greatli,1
608,hinder,1
611,wish,1
612,profession,1
614,downtown,1
619,lost,1
580,mask,1
579,bat,1
577,flow,1
574,wood,1
533,pane,1
541,motion,1
542,knock,1
543,slope,1
545,grammar,1
546,ea,1
548,behavior,1
553,princip,1
554,thousand,1
555,perfect,1
558,list,1
561,revis,1
562,illustr,1
569,financi,1
573,scaffold,1
588,number,1
